Name,Address,City,State,Zip Code,Phone,Facility Type,License Type,Capacity,Ages,Current Subsidy Provider
Discovery Time Learning Academy,420 Hume Avenue,ALEXANDRIA,VA,22301,(703) 930-9043,Child Day Center,Two Year,104,1 month - 12 years 11 months,No
Discovery Time Learning Center,1509 Leslie Avenue,ALEXANDRIA,VA,22301,(703) 930-9043,Child Day Center,Two Year,104,1 month - 12 years 11 months,No
Discovery World Child Care,123 West Ellerslie Avenue,COLONIAL HEIGHTS,VA,23834,(804) 520-1590,Child Day Center,Two Year,92,2 years - 12 years 11 months,Yes
Divine Kare Learning Center,1929 S. Sycamore Street,PETERSBURG,VA,23805,(804) 957-5639,Child Day Center,Two Year,46,1 month - 12 years 11 months,Yes
Downtown Hampton Child Development Center - Mary Peake,1306 Thomas Street,HAMPTON,VA,23669,(757) 825-6200,Child Day Center,Two Year,200,1 month - 5 years 11 months,Yes
Dryden I Head Start Center,Dryden Primary School,DRYDEN,VA,24243,(540) 346-3150,Child Day Center,Two Year,22,3 years - 5 years 11 months,No
Dryden II Head Start Center,"Dryden Primary School
Ruritan Building",DRYDEN,VA,24243,(276) 346-3150,Child Day Center,Two Year,"7:30am - 3:30pm, Monday - Friday",24,No
Dublin United Methodist Church Learning Circle Preschool,103 Giles Avenue,DUBLIN,VA,24084,(540) 674-0907,Child Day Center,Two Year,50,3 years - 5 years 11 months,No
Dudley Elementary YMCA Before & After School Program,7250 Brooks Mill Road,WIRTZ,VA,24184,(540) 493-3400,Child Day Center,Two Year,50,3 years - 12 years 11 months,Yes
Duffield Early Head Start Center,659 Duff Patt Hwy,DUFFIELD,VA,24244,(276) 431-0141,Child Day Center,Two Year,8,1 month - 3 years 11 months,No
Duffield Head Start Center #1& #2,"657 Duff-Patt Highway
Duffield Elementary School",DUFFIELD,VA,24244,(276) 431-4620,Child Day Center,Two Year,40,2 years 10 months - 5 years 11 months,No
Dulin United Methodist Cooperative Preschool,513 E. Broad Street,FALLS CHURCH,VA,22046,(703) 532-3790,Child Day Center,Two Year,50,2 years - 5 years 11 months,No
Dulles Montessori School,898 Crestview Drive,HERNDON,VA,20170,(703) 627-2967,Child Day Center,Two Year,89,1 year 4 months - 9 years 11 months,Yes
Dungannon Head Start Center,302 Hanging Rock Road,DUNGANNON,VA,24245,(276) 467-2584,Child Day Center,Two Year,20,2 years 10 months - 5 years 11 months,No
EA's Little Blessings Learning Center,956 Berkley Avenue Ext.,NORFOLK,VA,23523,(757) 545-1100,Child Day Center,Two Year,33,1 month - 12 years 11 months,Yes
Eagle Nest Center,"3103 Jefferson Avenue, Suite 102",NEWPORT NEWS,VA,23607,(757) 310-6969,Child Day Center,Two Year,82,1 month - 12 years 11 months,Yes
Eagle Nest Center 1 LTD,604 Morris Drive,NEWPORT NEWS,VA,23605,(757) 788-8262,Child Day Center,Two Year,94,1 month - 12 years 11 months,Yes
Early Bird Kiddie College,1356 25th Street,NEWPORT NEWS,VA,23607,(757) 244-1500,Child Day Center,Two Year,29,1 year - 12 years 11 months,Yes
Early Resultz Daycare & Learning Center,3215 Bridge Road,SUFFOLK,VA,23435,(757) 977-1222,Child Day Center,Two Year,51,1 month - 12 years 11 months,Yes
Early Steps Bilingual Pre-School,1701 N Bryan Street,ARLINGTON,VA,22201,(703) 243-1198,Child Day Center,Two Year,50,2 years - 8 years 11 months,No
Early Steps Bilingual Preschool II,"1014 Country Club Drive, NE",VIENNA,VA,22180,(703) 242-3711,Child Day Center,Two Year,45,2 years - 12 years 11 months,No
Early Steps Bilingual Preschool Springfield Inc.,5407 Backlick Road,SPRINGFIELD,VA,22151,(703) 405-2607,Child Day Center,Two Year,99,2 years 6 months - 6 years 11 months,No
Early Years Academy,13817 Spriggs Road,MANASSAS,VA,20112,(703) 730-8300,Child Day Center,Two Year,44,3 months - 12 years 11 months,Yes
Early Years Montessori School,3241 Brush Drive,FALLS CHURCH,VA,22042,(703) 237-0264,Child Day Center,Two Year,75,2 years - 9 years 11 months,No
Early Years Preschool and Parents' Day Out,3701 Lorcom Lane,ARLINGTON,VA,22207,(703) 465-8687,Child Day Center,Two Year,33,6 months - 5 years 11 months,No
Earthsong Community School,227 North Lewis Street,LEXINGTON,VA,24450,(540) 464-1346,Child Day Center,Two Year,34,2 years - 12 years 11 months,No
East Gate Montessori School,43665 Tall Cedars Parkway,CHANTILLY,VA,20152,(703) 542-8600,Child Day Center,Two Year,76,1 year 6 months - 9 years 11 months,No
Easter Seals Child Development Center of Northern Virginia,300 Hunton Avenue,FALLS CHURCH,VA,22046,(703) 534-5353,Child Day Center,Two Year,76,1 month - 5 years 11 months,No
Eastern Mennonite University Early Learning Center,1600 College Avenue,HARRISONBURG,VA,22802,(540) 433-4002,Child Day Center,Two Year,25,1 year 11 months - 6 years 11 months,No
Eastern Shore Early Childhood Development Center,24429 Front Street,ACCOMAC,VA,23301,(757) 787-8774,Child Day Center,Two Year,100,3 years - 5 years,No
Effingham Street Family YMCA,1013 Effingham Street,PORTSMOUTH,VA,23704,(757) 399-5511,Child Day Center,Two Year,154,4 years - 12 years 11 months,Yes
El Roi Childcare,1017 Todds Lane,HAMPTON,VA,23666,(757) 593-1883,Child Day Center,Conditional,24,2 years - 12 years 11 months,No
Elim Kids Academy,5649 Mt. Gilead Road,CENTREVILLE,VA,20120,(703) 945-4548,Child Day Center,Two Year,51,3 months - 9 years 11 months,No
Elizabeth's Early Learning Center,2320 Bedford Avenue,LYNCHBURG,VA,24503,(434) 528-5698,Child Day Center,Two Year,205,1 month - 12 years 11 months,Yes
Elk Knob Head Start Center I,"Elk Knob Elementary School
Highway 421",PENNINGTON GAP,VA,24277,(276) 346-3150,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Elk Knob II Head Start Center,Elk Knob Elementary School,PENNINGTON GAP,VA,24277,(276) 346-3150,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
Emmanuel Lutheran Preschool,2589 Chain Bridge Road,VIENNA,VA,22181,(703) 938-6187,Child Day Center,Two Year,89,2 years 6 months - 5 years 11 months,No
Emmanuel Lutheran Preschool and Child Development Center,23 Semple Farm Road,HAMPTON,VA,23666,(757) 865-2851,Child Day Center,Two Year,109,1 month - 12 years 11 months,Yes
Emmanuel Preschool,300 West Frederick Street,STAUNTON,VA,24401,(540) 421-4538,Child Day Center,Conditional,20,3 years - 5 years 11 months,No
Emporia YMCA Child Care Center,212 Weaver Avenue,EMPORIA,VA,23847,(757) 348-9622,Child Day Center,Two Year,100,3 years - 12 years 11 months,Yes
Enderly Heights Head Start Child Development Center,101 Woodland Avenue,BUENA VISTA,VA,24416,(540) 261-0000,Child Day Center,Two Year,40,2 years 11 months - 5 years 11 months,No
Epes School Age Program,855 Lucas Creek Road,NEWPORT NEWS,VA,23608,(757) 926-1400,Child Day Center,Two Year,"3:30 - 6:30 pm, Monday - Friday",90,Yes
Epiphany Preschool,"1014 Country Club Drive, NE",VIENNA,VA,22180,(703) 938-2391,Child Day Center,Conditional,55,2 years 6 months - 5 years 11 months,No
Especially Yours Child Development Center LLC,1605 Jefferson Davis Highway,RICHMOND,VA,23224,(804) 230-4381,Child Day Center,Two Year,52,1 month - 12 years 11 months,Yes
Esserville Head Start Center 1,5341 Esserville Road,NORTON,VA,24273,(276) 679-0518 (113),Child Day Center,Two Year,75,1 month - 5 years 11 months,No
Esserville Head Start Center 2,5341 A Esserville Road,NORTON,VA,24273,(276) 679-0518 (138),Child Day Center,Two Year,20,2 years 6 months - 5 years 11 months,No
Evangel Child Care Ministries,2360 Hardy Road,VINTON,VA,24179,(540) 982-3694,Child Day Center,Two Year,75,2 years - 12 years 11 months,Yes
Everbrook Academy,11675 Chapel Springs Road,BRISTOW,VA,20136,(571) 428-5059,Child Day Center,Two Year,136,1 month - 12 years 11 months,No
Everbrook Academy,7550 Nolan Road,GAINESVILLE,VA,20155,(571) 469-1647,Child Day Center,Two Year,136,1 month - 12 years 11 months,No
Everbrook Academy,"201 12th Street South
Suite 102",ARLINGTON,VA,22202,(571) 344-3589,Child Day Center,Two Year,137,1 month - 5 years 11 months,No
Everbrook Academy,21684 Romans Drive,ASHBURN,VA,20147,(571) 510-8735,Child Day Center,Two Year,142,1 month - 12 years 11 months,No
Excel Preparatory Preschool Academy,2418 Grist Mill Place,ALEXANDRIA,VA,22314,(703) 317-1389,Child Day Center,Conditional,90,1 month - 5 years 11 months,Yes
Excel at Southampton Elementary School,3333 Cheverly Road,RICHMOND,VA,23225,(804) 252-4545,Child Day Center,Two Year,"7:30 am to 8:30am - 3:45 pm to 6:00pm, Monday - Friday",50,No
"Exploring, Learning and Fun Child Enrichment Center",4465 Brookfield Corporate Drive,CHANTILLY,VA,20151,(703) 899-4993,Child Day Center,Two Year,48,2 months - 12 years 11 months,No
"Extended-Day Care Programs, Camp Griffin and The Griffin Academy",3819 Gallows Road,ANNANDALE,VA,22003,(703) 256-3620,Child Day Center,Two Year,125,3 years - 12 years 11 months,No
F.A.Z. Creative Education Center,1776 Old Meadow Road,MC LEAN,VA,22102,(703) 848-8822,Child Day Center,Two Year,75,Birth - 12 years 11 months,Yes
FBC Kids Block Learning Center,1135 37th Street,NEWPORT NEWS,VA,23607,(757) 928-0858,Child Day Center,Two Year,69,1 month - 12 years 11 months,Yes
FFX PK AUTH - Frying Pan Park,2709 West Ox Road,HERNDON,VA,20171,(703) 689-3104,Child Day Center,Two Year,50,2 years 6 months - 12 years 11 months,No
FFX PK AUTH - Lee District RECenter,6601 Telegraph Road,ALEXANDRIA,VA,22310,(703) 922-9841,Child Day Center,Two Year,86,2 years 6 months - 6 years,No
FFX PK AUTH - Spring Hill RECenter,1239 Spring Hill Road,MC LEAN,VA,22102,(703) 827-0989,Child Day Center,Two Year,"9am - 4pm, Monday - Friday",19,No
"Faces of the Future Academy, Inc",1350 Anderson Highway,POWHATAN,VA,23139,(804) 379-7874,Child Day Center,Two Year,115,1 month - 12 years 11 months,Yes
Fairfax Academy of Early Learning,820 S. Carlin Springs Road,ARLINGTON,VA,22204,(703) 671-5555,Child Day Center,Two Year,275,2 years - 12 years 11 months,Yes
Fairfax County Employees' Child Care Center,"12011 Government Center Parkway
Suite 100",FAIRFAX,VA,22035,(703) 324-7370,Child Day Center,Two Year,100,1 month - 5 years 11 months,Yes
Fairfax Presbyterian Preschool,10723 Main Street,FAIRFAX,VA,22030,(703) 273-4333,Child Day Center,Two Year,86,2 years 6 months - 5 years 11 months,No
Fairfax United Methodist Church Preschool,10300 Stratford Avenue,FAIRFAX,VA,22030,(703) 591-3177,Child Day Center,Two Year,55,2 years 6 months - 6 years 11 months,No
Fairfield Head Start Child Development Center,20 Fairfield School Road,FAIRFIELD,VA,24473,(540) 377-5312,Child Day Center,Two Year,20,2 years 10 months - 5 years 11 months,No
Fairlington Preschool,"3900 King Street
Fairlington UMC",ALEXANDRIA,VA,22302,(703) 671-3939,Child Day Center,Two Year,110,2 years - 5 years 11 months,No
Faith of Life Learning Center,6110 Belmont Road,CHESTERFIELD,VA,23832,(804) 674-7777,Child Day Center,Two Year,105,1 month - 12 years 11 months,Yes
Falls Church Community Center Preschool,223 Little Falls Street,FALLS CHURCH,VA,22046,(703) 248-5077,Child Day Center,Two Year,18,3 years - 5 years 11 months,No
Falls Church Merrifield Preschool,"8111 Gatehouse Road, Suite 120",FALLS CHURCH,VA,22042,(571) 405-6267,Child Day Center,Two Year,106,16 months - 7 years 11 months,No
Falls Church Montessori,6103 Arlington Blvd.,FALLS CHURCH,VA,22044,(703) 237-0266,Child Day Center,Two Year,80,12 months - 12 years 11 months,No
Falls Church Preschool and Daycare,"105 N. Virginia Ave., Ste. 104/106",FALLS CHURCH,VA,22046,(703) 462-8690,Child Day Center,Two Year,40,2 years 6 months - 7 years 11 months,No
Falls Church-McLean Children's Center,7230 Idylwood Road,FALLS CHURCH,VA,22043,(703) 534-4907,Child Day Center,Two Year,108,1 year 8 months - 12 years 11 months,Yes
Fast Track Learning Center Preschool & Academy,6004 East Virginia Beach Boulevard,NORFOLK,VA,23502,(757) 962-2921,Child Day Center,Two Year,39,1 month - 12 years,Yes
Fauquier CAC Head Start - H. M. Pearson,9347 Bastable Mill Road,CATLETT,VA,20119-2105,(540) 347-7000 (1098),Child Day Center,Two Year,18,3 years - 5 years 11 months,No
Fauquier Community Child Care - Bradley,674 Hastings Lane,WARRENTON,VA,20186-2110,(540) 349-1837,Child Day Center,Two Year,"6:15 a.m. - 6:30 p.m., Monday - Friday",200,Yes
Fauquier Community Child Care - Brumfield SAC & Summer Camp,550 Alwington Blvd.,WARRENTON,VA,20186-3703,(540) 349-8578,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",200,Yes
Fauquier Community Child Care - Grace Miller Elementary School,6248 Catlett Road,BEALETON,VA,22712,(540) 439-1909,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",75,Yes
Fauquier Community Child Care - H.M. Pearson,9347 Bastable Mill Road,CATLETT,VA,20119-2105,(540) 788-1548,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",200,Yes
Fauquier Community Child Care At C. Hunter Ritchie,4416 Broad Run Church Road,NEW BALTIMORE,VA,20187-2535,(540) 341-7684,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",200,Yes
Fauquier Community Child Care Inc. Coleman,4096 Zulla Road,THE PLAINS,VA,20198-2149,(540) 364-4738,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",50,Yes
Fauquier Community Child Care Inc.- Greenville Elementary School,7389 Academic Avenue,NOKESVILLE,VA,20181-5878,(540) 349-8544,Child Day Center,Two Year,"6:30 a.m. & 8:30 p.m. - 3:30 p.m. & 6:30 p.m., Monday - Friday",80,Yes
"Fauquier Community Child Care, Inc. -Mary Walter",4529 Morrisville Road,BEALETON,VA,22712,(540) 439-3177,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",50,Yes
Fauquier Community Child Care- P. B. Smith SAC,6176 Dumfries Road,WARRENTON,VA,20187-4169,(540) 341-7785,Child Day Center,Two Year,"6:30 a.m. - 8:30 a.m. - 3:30 p.m. - 6:30 p.m., Monday - Friday",200,Yes
Fauquier Community Child Care-M.M. Pierce,12074 James Madison Street,REMINGTON,VA,22734,(540) 439-0311,Child Day Center,Two Year,"6:30 a.m. - 6:30 p.m., Monday - Friday",50,Yes
Feya Preschool LLC,1611 S. Walter Reed Drive,ARLINGTON,VA,22204,(703) 271-1611,Child Day Center,Two Year,40,2 years 6 months - 5 years 11 months,No
Fifth Street Baptist Church Child Development Center,1302 Victor Street,RICHMOND,VA,23222,(804) 321-5615,Child Day Center,Two Year,110,2 years - 12 years 11 months,Yes
Finding Dreams in Children,"3501 Fairfax Drive
Plaza Level",ARLINGTON,VA,22201,(703) 516-1223,Child Day Center,Two Year,92,1 month - 6 years 11 months,No
Fiore Montessori School,1629 Beulah Road,VIENNA,VA,22182,(703) 319-2069,Child Day Center,Two Year,99,1 year 4 months - 12 years 11 months,No
Firefly Childcare New Dorset,2426 New Dorset Circle,POWHATAN,VA,23139,(804) 822-1185,Child Day Center,Conditional,80,3 years - 12 years 11 months,Yes
First Baptist Church Denbigh Child Development Ctr,3628 Campbell Road,NEWPORT NEWS,VA,23602,(757) 833-7261,Child Day Center,Two Year,260,2 years 6 months - 12 years 11 months,Yes
First Baptist Church of Clarendon Development Center,1306 N. Highland Street,ARLINGTON,VA,22201,(703) 522-6477,Child Day Center,Two Year,185,3 months - 12 years 11 months,No
First Discovery Academy,3560 Chester Street,VIRGINIA BEACH,VA,23452,(757) 340-7228,Child Day Center,Two Year,132,1 month - 12 years 11 months,Yes
First Discovery Child Development Center,338 Oyster Point Road,NEWPORT NEWS,VA,23602,(757) 882-1000,Child Day Center,Two Year,117,1 month - 12 years 11 months,Yes
First Discovery Child Development Center,5355 Lila Lane,VIRGINIA BEACH,VA,23464,(757) 424-0040,Child Day Center,Two Year,117,1 month - 12 years,Yes
First Step Preschool,7310A Old Plank Road,FREDERICKSBURG,VA,22407,(540) 786-2447,Child Day Center,Two Year,54,2 years - 5 years 11 months,No
First Steps Academy,"7900 Westpark Drive
Suite A040",MC LEAN,VA,22102,(703) 821-6663,Child Day Center,Two Year,170,1 month - 5 years 11 months,No
First Steps Child Care & Development Center,4460 Longhill Road,WILLIAMSBURG,VA,23188,(757) 564-0410,Child Day Center,Two Year,36,1 month - 3 years 11 months,Yes
First Steps Child Care Center,"403 Otey Street, Suite C",BEDFORD,VA,24523,(540) 491-4846,Child Day Center,Conditional,26,Birth - 12 years 11 months,No
First Steps Infant Development Center,1100 East Jefferson Street,CHARLOTTESVILLE,VA,22902,(434) 295-5575,Child Day Center,Two Year,58,1 month - 5 years 11 months,No
Five Star Academy,5916 Fort Avenue,LYNCHBURG,VA,24502,(434) 239-3413,Child Day Center,Two Year,125,1 month - 12 years 11 months,Yes
Flatwoods I Head Start Center,Flatwoods Primary School,JONESVILLE,VA,24263,(276) 346-0395,Child Day Center,Two Year,22,3 years - 5 years 11 months,No
Flatwoods II Head Start Center,Flatwoods Primary School,JONESVILLE,VA,24263,(276) 346-3150,Child Day Center,Two Year,24,3 years - 5 years 11 months,No
Flint Hill School - East Campus,10409 Academic Drive,OAKTON,VA,22124,(703) 584-2300,Child Day Center,Two Year,275,4 years - 12 years 11 months,No
Floris United Methodist Church Preschool,13600 Frying Pan Road,HERNDON,VA,20171,(703) 793-0749,Child Day Center,Two Year,176,2 years - 5 years 11 months,No
Foot Prints Daycare and Preschool,244 Purdy Road,EMPORIA,VA,23847,(434) 634-2390,Child Day Center,Two Year,92,2 years - 12 years,Yes
For Kids Only Child Care,2701 New Kent Highway,QUINTON,VA,23141,(804) 932-3873,Child Day Center,Provisional,123,Birth - 12 years 11 months,Yes
Forest Hill Presbyterian Church Child Care Center,4401 Forest Hill Avenue,RICHMOND,VA,23225,(804) 230-2380,Child Day Center,Two Year,60,2 years - 10 years 11 months,No
Forest KinderCare Learning Center,16780 Forest Road,FOREST,VA,24551,(540) 425-5850,Child Day Center,Conditional,120,1 month - 12 years 11 months,No
Forever Young Montessori School and Day Care,4613 - 4621 Pembroke Lake Circle,VIRGINIA BEACH,VA,23455,(757) 499-0570,Child Day Center,Two Year,45,1 month - 12 years 11 months,No
Fort Hunt Preschool,1909 Windmill Lane,ALEXANDRIA,VA,22307,(703) 768-7584,Child Day Center,Two Year,50,2 years - 5 years 11 months,No
"Foundations Child Development Center, Inc.",3375 Berkmar Drive,CHARLOTTESVILLE,VA,22901,(434) 973-9218,Child Day Center,Two Year,110,1 month - 12 years 11 months,Yes
Foundations Learning Academy at Midlothian,3700 Midlothian Turnpike,RICHMOND,VA,23224,(804) 231-2149,Child Day Center,Two Year,105,1 month - 12 years 11 months,Yes
Four Seasons Daycare,5295 Windsor Drive,KING GEORGE,VA,22485,(540) 663-3373,Child Day Center,Two Year,129,1 month - 12 years 11 months,Yes
Four Seasons Learning Center,254 Lakeview Drive,CHARLOTTESVILLE,VA,22901,(434) 975-4455,Child Day Center,Two Year,60,Birth - 12 years 11 months,Yes
Fox Meadows Head Start Center,"137 Memorial Drive
Fox Meadows Housing Complex",LEBANON,VA,24266,(276) 889-4768,Child Day Center,Two Year,37,3 years - 5 years 11 months,No
"Frances Barton Meekins Pre School, Inc.","900 Maple Avenue, East",VIENNA,VA,22180,(703) 928-2549,Child Day Center,Two Year,58,2 years - 6 years 11 months,No
Francis Asbury Preschool,1871 North Great Neck Road,VIRGINIA BEACH,VA,23454,(757) 376-8394,Child Day Center,Conditional,70,2 years - 6 years 11 months,No
Franklin County YMCA School-Age Child Care Program,235 Technology Drive,ROCKY MOUNT,VA,24151,(540) 489-9622,Child Day Center,Two Year,75,4 years - 12 years 11 months,Yes
Fredericksburg Academy,10800 Academy Drive,FREDERICKSBURG,VA,22408,(540) 898-0020 (211),Child Day Center,Two Year,75,2 years 6 months - 12 years 11 months,No
Fredericksburg Children's Academy,365 Ferry Road,FREDERICKSBURG,VA,22405,(540) 371-9300,Child Day Center,Two Year,209,1 month - 12 years 11 months,Yes
Fredericksburg Preschool,810 Princess Anne Street,FREDERICKSBURG,VA,22401,(540) 509-1374,Child Day Center,Two Year,16,3 years - 5 years 11 months,No
Free Union Country School,4220 Free Union Road,FREE UNION,VA,22940,(434) 978-1700,Child Day Center,Two Year,25,2 years 6 months - 12 years 11 months,No
Freedom Aquatic and Fitness Center Preschool/Summer Camps,9100 Freedom Center Boulevard,MANASSAS,VA,20110,(703) 993-8444,Child Day Center,Two Year,300,3 years - 12 years 11 months,No
Freedom Montessori School,4090 Lafayette Center Drive,CHANTILLY,VA,20151,(703) 955-7920,Child Day Center,Two Year,124,1 month - 12 years 11 months,Yes
Fremont Street Nursery Inc.,533 Fremont Street,WINCHESTER,VA,22601,(540) 662-7237,Child Day Center,Two Year,84,1 month - 12 years 11 months,Yes
Friends Association for Children,1004 St. John Street,RICHMOND,VA,23220,(804) 644-2357,Child Day Center,Two Year,100,2 years - 12 years 11 months,Yes
Frog Pond Early Learning Center,7204 Harrison Lane,ALEXANDRIA,VA,22306,(703) 765-7663,Child Day Center,Two Year,64,1 year 4 months - 6 years 11 months,Yes
From Russia With Love,3637 Virginia Beach Boulevard,VIRGINIA BEACH,VA,23452,(757) 536-4111,Child Day Center,Two Year,34,4 months - 10 years 11 months,No
Full Circle Montessori School,870 S. Greenbrier Street,ARLINGTON,VA,22204,(703) 243-8282,Child Day Center,Two Year,150,1 year 3 months - 12 years 11 months,No
Full Circle Montessori School (N. Fairfax Drive),2230 North Fairfax Drive,ARLINGTON,VA,22201,(703) 243-8282,Child Day Center,Two Year,25,2 years 6 months - 6 years 11 months,No
Full Circle Montessori School - Wakefield Street,801 N. Wakefield Street,ARLINGTON,VA,22203,(571) 357-1278,Child Day Center,Two Year,27,2 years 6 months - 6 years 11 months,No
Full Circle Montessori School - Washington Blvd.,5819 Washington Blvd.,ARLINGTON,VA,22205,(571) 335-4637,Child Day Center,Two Year,28,12 months - 3 years 5 months,No
Fulton Montessori School,1637 Williamsburg Road,RICHMOND,VA,23231,(804) 893-7244,Child Day Center,Two Year,40,2 years - 6 years 6 months,Yes
"Fun Farm Centers, Inc.",121 Commerce Park Drive,MANQUIN,VA,23106,(804) 769-2195,Child Day Center,Two Year,115,1 month - 12 years 11 months,No
Funland Before & After School Program,9501 Dean Park Lane,MANASSAS,VA,20110,(703) 365-2582 (228),Child Day Center,Two Year,300,5 years - 12 years 11 months,Yes
Funshine Preschool,3440 22nd Street South,ARLINGTON,VA,22206,(703) 521-1090,Child Day Center,Two Year,60,3 months - 6 years 11 months,No
Fuqua School Early Learning Center,605 Fuqua Drive,FARMVILLE,VA,23901,(434) 392-4131,Child Day Center,Two Year,40,2 years 6 months - 12 years 11 months,No
G3 Learning Center LLC - God's Gracious Gifts,7830 Jernigan Avenue,NORFOLK,VA,23513,(757) 317-1014,Child Day Center,Conditional,10,1 month - 5 years,Yes
GILES HEALTH & FAMILY CENTER,701 WENONAH AVENUE,PEARISBURG,VA,24134,(540) 921-3024,Child Day Center,Two Year,32,1 month - 12 years 11 months,Yes
Galax Early Head Start Center,103 Hospital Drive,GALAX,VA,24333,(276) 236-7131 (243),Child Day Center,Two Year,24,1 month - 3 years 11 months,No
Galax Head Start Center,125 Rosenwald-Felts Drive,GALAX,VA,24333,(276) 236-7131 (243),Child Day Center,Two Year,40,2 years 11 months - 5 years 11 months,No
Gan Israel Preschool,3939 Prince William Drive,FAIRFAX,VA,22031,(703) 426-1980,Child Day Center,Two Year,38,1 year 6 months - 5 years 11 months,No
Garden School,13710 Milestone Court,GAINESVILLE,VA,20155,(571) 969-5435,Child Day Center,Two Year,55,3 years - 12 years 11 months,No
General Booth KinderCare #1238,1801 General Booth Blvd.,VIRGINIA BEACH,VA,23454,(757) 721-7664,Child Day Center,Two Year,140,1 month - 12 years 11 months,Yes
General Heiser Boys and Girls Club,17565 Old Stage Coach Road,DUMFRIES,VA,22026,(703) 441-0611,Child Day Center,Two Year,200,5 years - 12 years 11 months,Yes
Generations,"216 College Ridge Road
218 College Ridge Road",CEDAR BLUFF,VA,24609,(276) 964-4915,Child Day Center,Two Year,60,1 month - 12 years 11 months,Yes
Generations Crossing,3765 Taylor Spring Lane,ROCKINGHAM,VA,22801,(540) 434-4901,Child Day Center,Two Year,108,1 month - 12 years 11 months,No
Generations Montessori School of Charlottesville,1525 Stony Point Road,CHARLOTTESVILLE,VA,22911,(434) 422-8161,Child Day Center,Two Year,42,2 months - 12 years 11 months,No
Genesis Learning Center @ Airport,5621 Corrugated Road,RICHMOND,VA,23231,(804) 326-2966,Child Day Center,Two Year,150,1 month - 12 years 11 months,Yes
Genesis Learning Center @ Cloverleaf,7500 Cloverleaf Drive,N. CHESTERFIELD,VA,23225,(804) 231-1786,Child Day Center,Two Year,150,1 month - 12 years 11 months,Yes
Genesis Learning Center At Bensley Commons,2700 Bensley Commons Boulevard,NORTH CHESTERFIELD,VA,23237,(804) 271-4724,Child Day Center,Two Year,152,1 month - 12 years 11 months,Yes
Geneva Square Head Start,700 Geneva Avenue,CHESAPEAKE,VA,23323,(757) 606-1211,Child Day Center,Two Year,17,2 years 11 months - 5 years 11 months,No
Gentle Touch Learning Center LLC,3621 Turnpike Road,PORTSMOUTH,VA,23707,(757) 399-5437,Child Day Center,Two Year,30,16 months - 7 years 11 months,Yes
George Mason University Child Development Center,4402 University Drive,FAIRFAX,VA,22030,(703) 993-5960,Child Day Center,Two Year,145,2 years - 8 years 11 months,No
Georgetown South Early Head Start CDC,9444 Taney Road,MANASSAS,VA,20110-5933,(571) 748-2771,Child Day Center,Two Year,40,1 month - 3 years 11 months,Yes
Gesher JDS Junior Kindergarten and Before/After Care Program,4800 Mattie Moore Court,FAIRFAX,VA,22030,(703) 978-9789,Child Day Center,Two Year,32,3 years - 12 years 11 months,No
Ghent Montessori,610 Mowbray Arch,NORFOLK,VA,23507,(757) 622-8174,Child Day Center,Two Year,107,2 years - 12 years 11 months,No
"Gifted Minds Academy, Inc.",3500 King Street,PORTSMOUTH,VA,23707,(757) 399-1920,Child Day Center,Two Year,32,1 month - 12 years 11 months,Yes
"Gingerbread Cottage Preschool, Inc. - Mechanicsville",8116 Walnut Grove Road,MECHANICSVILLE,VA,23111,(804) 569-6110,Child Day Center,Two Year,36,3 years - 5 years 11 months,No
Gingerbread House Day Care Center,305 Crescent Drive,FRANKLIN,VA,23851,(757) 569-8658,Child Day Center,Two Year,81,1 month - 10 years 11 months,Yes
Girls Inc at Greendale Elementary School,13092 McGuffie Road,ABINGDON,VA,24210,(276) 739-3500,Child Day Center,Two Year,50,5 years - 12 years,Yes
Girls Incorporated of Bristol,613 Highland Avenue,BRISTOL,VA,24201,(276) 669-8686,Child Day Center,Two Year,149,5 years - 12 years 11 months,Yes
Glade Spring Child Development Center,337 North Glade Street,GLADE SPRING,VA,24340,(276) 429-2135,Child Day Center,Two Year,40,3 years - 5 years 11 months,No
Glen Allen Community Montessori School,11105 Cauthorne Road,GLEN ALLEN,VA,23059,(804) 213-2609,Child Day Center,Two Year,20,3 years - 9 years 11 months,Yes
Global Engineers Academy,2932 East Virginia Beach Boulevard,NORFOLK,VA,23504,(757) 739-1731,Child Day Center,Two Year,40,2 years - 5 years 11 months,Yes
Gloria Dei Lutheran School & Child Care II,50 Willow Oaks Boulevard,HAMPTON,VA,23669,(757) 851-6292,Child Day Center,Two Year,175,5 years - 12 years 11 months,Yes
Gloria Dei Lutheran School and Child Care,250 Fox Hill Road,HAMPTON,VA,23669,(757) 851-6292,Child Day Center,Two Year,380,1 year 4 months - 12 years 11 months,Yes
